"ID";"Link";"Name";"ParentID"
1;"";"互联网技术类";0
2;"";"后端开发";1
3;"";"前端开发";1
4;"";"移动开发";1
5;"";"测试";1
6;"";"运维";1
7;"";"DBA";1
8;"";"JAVA";2
9;"";"C++";2
10;"";"PHP";2
11;"";"数据挖掘";2
12;"";"C";2
13;"";"C#";2
14;"";".NET";2
15;"";"Hadoop";2
16;"";"Python";2
17;"";"Delphi";2
18;"";"VB";2
19;"";"Perl";2
20;"";"Ruby";2
21;"";"web前端";3
22;"";"Flash";3
23;"";"html5";3
24;"";"JavaScript";3
25;"";"U3D";3
26;"";"COCOS2D-X";3
27;"";"HTML5";4
28;"";"Android";4
29;"";"iOS";4
30;"";"WP";4
31;"";"测试工程 ";5
32;"";"自动化测试";5
33;"";"功能测试";5
34;"";"性能测试";5
35;"";"测试开发";5
36;"";"运维工程";6
37;"";"运维开发工程";6
38;"";"网络工程";6
39;"";"系统工程";6
40;"";"IT支持";6
41;"";"MySQL";7
42;"";"SQLServer";7
43;"";"Oracle";7
44;"";"DB2";7
45;"";"MongoDB";7
46;"";"生活技能";0
47;"";"日常技能";46
48;"";"绣花女红";47
49;"";"蛋糕烘焙";47
50;"";"食品烹饪";47
51;"";"美容美发";47
52;"";"修建除草";47
53;"";"栽花种树";47
54;"";"养鱼养鸟";47
55;"";"高端技能";46
56;"";"挖掘机";55
57;"";"开飞机";55
58;"";"设计";0
59;"";"视觉设计";58
60;"";"网页设计";59
61;"";"Flash设计";59
62;"";"APP设计";59
63;"";"UI设计";59
64;"";"平面设计";59
65;"";"美术设计（2D/3D）";59
66;"";"广告设计";59
67;"";"多媒体设计";59
68;"";"原画技术";59
69;"";"游戏特效制作";59
70;"";"游戏界面设计";59
71;"";"游戏场景设计";59
72;"";"游戏动作设计";59
73;"";"交互设计";58
74;"";"无线交互设计";73
75;"";"网页交互设计";73
76;"";"硬件交互设计";73
77;"";"用户研究";58
78;"";"数据分析";77
79;"";"用户研究";77
80;"";"游戏数值策划";77
81;"";"体育";0
82;"";"球类";81
83;"";"羽毛球";82
84;"";"网球";82
85;"";"篮球";82
86;"";"乒乓球";82
87;"";"台球";82
88;"";"高尔夫";82
89;"";"门球";82
90;"";"足球";82
91;"";"排球";82
92;"";"对抗类";81
93;"";"拳击";92
94;"";"击剑";92
95;"";"格斗";92
96;"";"散打";92
97;"";"留学考研考公";0
98;"";"出国留学";97
99;"";"雅思";98
100;"";"托福";98
101;"";"GRE";98
102;"";"SAT";98
103;"";"LSAT";98
104;"";"ACT";98
105;"";"考研";97
106;"";"考研英语";105
107;"";"政治";105
108;"";"数学";105
109;"";"考公";97
110;"";"申论";109
111;"";"逻辑推理";109
112;"";"数学运算";109
113;"";"言语理解";109
114;"";"资料分析";109
115;"";"常识";109
116;"";"艺术";0
117;"";"演奏类";116
118;"";"钢琴";117
119;"";"琵琶";117
120;"";"古筝";117
121;"";"吉他";117
122;"";"打击乐";116
123;"";"大鼓";122
124;"";"腰鼓";122
125;"";"缶";122
126;"";"竹板";122
